deputat,partia,perc_for,votes_for,tvo,oblast,year
Іванов Володимир Кіндратович ," Політична партія ""Зелені""",1.06,789,№9,Автономна Республіка Крим,2012
Лебедєв Ігор Володимирович , Молодіжна партія України,0.96,715,№9,Автономна Республіка Крим,2012
Мельнікова Тетяна Богданівна ," Партія ""Віче""",0.89,661,№9,Автономна Республіка Крим,2012
Луміковський Микола Миколайович ," Політична партія ""Народна ініціатива""",0.85,631,№9,Автономна Республіка Крим,2012
Муравейник Юрій Анатолійович ," Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",0.73,541,№9,Автономна Республіка Крим,2012
Тарасов Валерій Іванович ," Політична партія ""НОВА ПОЛІТИКА""",0.58,431,№9,Автономна Республіка Крим,2012
Груба Григорій Іванович , Партія регіонів,41.6,30671,№10,Автономна Республіка Крим,2012
Чийгоз Ахтем Зейтуллайович , самовисування,19.56,14427,№10,Автономна Республіка Крим,2012
Голубєв Михайло Михайлович , Комуністична партія України,10.45,7710,№10,Автономна Республіка Крим,2012
Ременюк Олексій Іванович ," Політична партія України ""РУСЬ ЄДИНА""",5.15,3799,№10,Автономна Республіка Крим,2012
Вакулін Дмитро Сергійович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",5.09,3755,№10,Автономна Республіка Крим,2012
Макєєв Михайло Андрійович ," Політична партія ""Руська Єдність""",2.28,1682,№10,Автономна Республіка Крим,2012
Тутєров Володимир Лукич ," Партія ""Союз""",2.09,1546,№10,Автономна Республіка Крим,2012
Юрьєв Олександр Юрійович , самовисування,2.09,1544,№10,Автономна Республіка Крим,2012
Книрік Костянтин Сергійович , самовисування,1.27,943,№10,Автономна Республіка Крим,2012
Терещенко Олена Вікторівна ," Українська партія ""Зелена планета""",1.23,907,№10,Автономна Республіка Крим,2012
Казарін Володимир Павлович , самовисування,1.12,831,№10,Автономна Республіка Крим,2012
Поздняков Андрій Володимирович , самовисування,0.9,669,№10,Автономна Республіка Крим,2012
Решетнікова Світлана Анатоліївна , Українська морська партія,0.72,533,№10,Автономна Республіка Крим,2012
Крутов Сергій Валерійович , самовисування,0.72,532,№10,Автономна Республіка Крим,2012
Коз’якова Ірена В’ячеславівна ," Партія ""Віче""",0.69,515,№10,Автономна Республіка Крим,2012
Гуріненко Олексій Миколайович , самовисування,0.69,511,№10,Автономна Республіка Крим,2012
Писана Олена Вікторівна ," Соціально-екологічна партія ""Союз. Чорнобиль. Україна.""",0.67,498,№10,Автономна Республіка Крим,2012
Миронов Олександр Володимирович ," Політична партія ""НОВА ПОЛІТИКА""",0.62,458,№10,Автономна Республіка Крим,2012
Костюк Віктор Георгійович , самовисування,0.59,437,№10,Автономна Республіка Крим,2012
Тещаєва Олена Володимирівна ," Політична партія ""Народна ініціатива""",0.56,419,№10,Автономна Республіка Крим,2012
Похилюк Євгеній Олександрович ," Політична партія ""Зелені""",0.56,418,№10,Автономна Республіка Крим,2012
Сейненський Алішер Вікторович , Партія Зелених України,0.45,333,№10,Автономна Республіка Крим,2012
Хруслова Ліліана Мударисівна ," Політична партія ""Держава""",0.44,329,№10,Автономна Республіка Крим,2012
Устіменко Андрій Ігорович ," Партія ""Об’єднані ліві і селяни""",0.34,256,№10,Автономна Республіка Крим,2012
Домбровський Олександр Георгійович , самовисування,30.16,29841,№11,Вінницька область,2012
Солейко Наталія Петрівна ," політична партія Всеукраїнське об’єднання ""Батьківщина""",28.0,27706,№11,Вінницька область,2012
Станіславенко Людмила Анатоліївна ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",13.75,13606,№11,Вінницька область,2012
Бевз Валерій Ананійович , Комуністична партія України,11.2,11086,№11,Вінницька область,2012
Добринська Наталія Володимирівна , Партія регіонів,6.45,6391,№11,Вінницька область,2012
Антемюк Віктор Дмитрович , самовисування,4.0,3958,№11,Вінницька область,2012
Добровольський Віталій Олександрович , самовисування,3.7,3664,№11,Вінницька область,2012
Березовський В’ячеслав Миколайович , політична партія Конгрес Українських Націоналістів,1.89,1873,№11,Вінницька область,2012
Кулініч Роман Олександрович ," Партія Наталії Королевської ""Україна – Вперед!""",0.82,814,№11,Вінницька область,2012
Порошенко Петро Олексійович , самовисування,71.52,73493,№12,Вінницька область,2012
Базелюк Володимир Васильович ," політична партія Всеукраїнське об’єднання ""Свобода""",9.12,9375,№12,Вінницька область,2012
Максимчук Борис Анатолійович , самовисування,5.16,5308,№12,Вінницька область,2012
Іорданов Юрій Іванович , самовисування,4.51,4636,№12,Вінницька область,2012
Бондарчук Іван Миколайович , Комуністична партія України,3.6,3703,№12,Вінницька область,2012
Барчишен Олег Вікторович ," Політична партія ""УДАР (Український Демократичний Альянс за Реформи) Віталія Кличка""",3.15,3245,№12,Вінницька область,2012
Костирко Дмитро Олександрович , Партія регіонів,2.52,2597,№12,Вінницька область,2012
Дмитрів Олег Степанович , політична партія Конгрес Українських Націоналістів,0.37,390,№12,Вінницька область,2012
Катеринчук Микола Дмитрович ," політична партія Всеукраїнське об’єднання ""Батьківщина""",64.34,62393,№13,Вінницька область,2012
Юрчишин Петро Васильович , самовисування,15.4,14939,№13,Вінницька область,2012
Гайдаєв Юрій Олександрович , Комуністична партія України,8.44,8192,№13,Вінницька область,2012
Зубко Ігор Миколайович , самовисування,5.43,5266,№13,Вінницька область,2012
Черній Василь Васильович , Народна Партія,1.33,1290,№13,Вінницька область,2012
Кавунець Андрій Володимирович , Партія регіонів,1.23,1200,№13,Вінницька область,2012
Шепелев Олександр Олександрович , самовисування,0.61,597,№13,Вінницька область,2012
Добруцький Ігор Ігорович , самовисування,0.54,533,№13,Вінницька область,2012
